,details,link
"<li><a href = ""../pdf/Notifications/Exam_Sch_AGH_AGP_AGC_2020.pdf"" target ='_' > EXAM SCHEDULE OF ASSISTANT GEO-HYDROLOGIST, ASSISTANT GEO-PHYSICS, ASSISTANT GEO-CHEMIST EXAM-2020 (16-10-2020)</li>","EXAM SCHEDULE OF ASSISTANT GEO-HYDROLOGIST, ASSISTANT GEO-PHYSICS, ASSISTANT GEO-CHEMIST EXAM-2020 (16-10-2020)",../pdf/Notifications/Exam_Sch_AGH_AGP_AGC_2020.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_ADJEM_2020.pdf"" target ='_' > EXAM SCHEDULE OF ASSISTANT DIRECTOR JANSAMPARK (ENG. MED.) EXAM-2020 (16-10-2020)</li>",EXAM SCHEDULE OF ASSISTANT DIRECTOR JANSAMPARK (ENG. MED.) EXAM-2020 (16-10-2020),../pdf/Notifications/Exam_Sch_ADJEM_2020.pdf
"<li><a href = ""../pdf/Notifications/Amend_Noti_SSME_2019_Postponement.pdf"" target ='_' > AMENDED NOTIFICATION FOR POSTPONEMENT OF STATE SERVICE (MAINS) EXAM-2019(13-10-2020)</li>",AMENDED NOTIFICATION FOR POSTPONEMENT OF STATE SERVICE (MAINS) EXAM-2019(13-10-2020),../pdf/Notifications/Amend_Noti_SSME_2019_Postponement.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCH_CIVIL_JUDGE_2020_05102020.pdf"" target ='_' > EXAM SCHEDULE OF CIVIL JUDGE EXAM-2020 (05-10-2020)</li>",EXAM SCHEDULE OF CIVIL JUDGE EXAM-2020 (05-10-2020),../pdf/Notifications/EXAM_SCH_CIVIL_JUDGE_2020_05102020.pdf
"<li><a href = ""../pdf/Notifications/SUBJECTWISE_TT_AP_2019_09102020.pdf"" target ='_' > SUBJECTWISE TIME TABLE (09-10-2020)</li>",SUBJECTWISE TIME TABLE (09-10-2020),../pdf/Notifications/SUBJECTWISE_TT_AP_2019_09102020.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_AP_2019_03102020.pdf"" target ='_' > EXAM SCHEDULE OF ASSISTANT PROFESSOR EXAM-2019 (03-10-2020)</li>",EXAM SCHEDULE OF ASSISTANT PROFESSOR EXAM-2019 (03-10-2020),../pdf/Notifications/Exam_Sch_AP_2019_03102020.pdf
"<li><a href = ""../pdf/Notifications/Noti_SSME_2019_01102020.pdf"" target ='_' > NOTIFICATION ABOUT STATE SERVICE (MAINS) EXAM-2019 (01-10-2020)</li>",NOTIFICATION ABOUT STATE SERVICE (MAINS) EXAM-2019 (01-10-2020),../pdf/Notifications/Noti_SSME_2019_01102020.pdf
"<li><a href = ""../pdf/Notifications/NOTI_AC_CJM2019_14092020.pdf"" target ='_' > NOTIFICATION ABOUT ADMIT CARD OF CIVIL JUDGE (MAINS) EXAM-2019 (14-09-2020)</li>",NOTIFICATION ABOUT ADMIT CARD OF CIVIL JUDGE (MAINS) EXAM-2019 (14-09-2020),../pdf/Notifications/NOTI_AC_CJM2019_14092020.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SUBS_CJM2019_10092020.pdf"" target ='_' > NOTIFICATION ABOUT SUBSCRIBER OF CIVIL JUDGE (MAINS) EXAM-2019 (10-09-2020)</li>",NOTIFICATION ABOUT SUBSCRIBER OF CIVIL JUDGE (MAINS) EXAM-2019 (10-09-2020),../pdf/Notifications/NOTI_SUBS_CJM2019_10092020.pdf
"<li><a href = ""../pdf/Notifications/Noti_ADR_2018_04092020.pdf"" target ='_' > IMPORTANT NOTIFICATION - ASSISTANT DIRECTOR, RESEARCH-2018 (04-09-2020) </li>","IMPORTANT NOTIFICATION - ASSISTANT DIRECTOR, RESEARCH-2018 (04-09-2020) ",../pdf/Notifications/Noti_ADR_2018_04092020.pdf
"<li><a href = ""../pdf/Notifications/NOTI_EXAM_SCH_SSME_2019_04092020.pdf"" target ='_' > EXAM SCHEDULE OF STATE SERVICE (MAINS) EXAM-2019 (04-09-2020) </li>",EXAM SCHEDULE OF STATE SERVICE (MAINS) EXAM-2019 (04-09-2020) ,../pdf/Notifications/NOTI_EXAM_SCH_SSME_2019_04092020.pdf
"<li><a href = ""../pdf/Notifications/SUCHANA_PATRA_VAS_2020_08092020.pdf"" target ='_' > SUCHANA PATRA - DOCUMENT VERIFICATION SCHEDULE OF VETERINARY ASSISTANT SURGEON-2020 (08-09-2020)</li>",SUCHANA PATRA - DOCUMENT VERIFICATION SCHEDULE OF VETERINARY ASSISTANT SURGEON-2020 (08-09-2020),../pdf/Notifications/SUCHANA_PATRA_VAS_2020_08092020.pdf
"<li><a href = ""../pdf/Notifications/Noti_DV_VAS_2020.pdf"" target ='_' > NOTIFICATION ABOUT DOCUMENT VERIFICATION SCHEDULE OF VETERINARY ASSISTANT SURGEON-2020 (26-08-2020) </li>",NOTIFICATION ABOUT DOCUMENT VERIFICATION SCHEDULE OF VETERINARY ASSISTANT SURGEON-2020 (26-08-2020) ,../pdf/Notifications/Noti_DV_VAS_2020.pdf
"<li><a href = ""../pdf/Notifications/DV_SCH_VAS2020_26082020.pdf"" target ='_' > DOCUMENT VERIFICATION SCHEDULE - VETERINARY ASSISTANT SURGEON-2020</li>",DOCUMENT VERIFICATION SCHEDULE - VETERINARY ASSISTANT SURGEON-2020,../pdf/Notifications/DV_SCH_VAS2020_26082020.pdf
"<li><a href = ""../pdf/Notifications/DV_CL_VAS2020_26082020.pdf"" target ='_' > DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/DV_CL_VAS2020_26082020.pdf
"<li><a href = ""../pdf/Notifications/NOTI_EXAM_SCH_CJM_2019_25082020.pdf"" target ='_' > EXAM SCHEDULE OF CIVIL JUDGE (MAINS) EXAM-2019 (25-08-2020) </li>",EXAM SCHEDULE OF CIVIL JUDGE (MAINS) EXAM-2019 (25-08-2020) ,../pdf/Notifications/NOTI_EXAM_SCH_CJM_2019_25082020.pdf
"<li><a href = ""../pdf/Notifications/Noti_Suchana_Patra_INT_LIBSO2019_24082020.pdf"" target ='_' > NOTIFICATION ABOUT INTERVIEW SCHEDULE OF LIBRARIAN AND SPORTS OFFICER EXAM-2019 (24-08-2020) </li>",NOTIFICATION ABOUT INTERVIEW SCHEDULE OF LIBRARIAN AND SPORTS OFFICER EXAM-2019 (24-08-2020) ,../pdf/Notifications/Noti_Suchana_Patra_INT_LIBSO2019_24082020.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_LIB_2019_24082020.pdf"" target ='_' > INTERVIEW SCHEDULE - LIBRARIAN EXAM-2019</li>",INTERVIEW SCHEDULE - LIBRARIAN EXAM-2019,../pdf/Notifications/INT_SCH_LIB_2019_24082020.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_lib2019_24082020.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_lib2019_24082020.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_SO_2019_24082020.pdf"" target ='_' > INTERVIEW SCHEDULE - SPORTS OFFICER EXAM-2019</li>",INTERVIEW SCHEDULE - SPORTS OFFICER EXAM-2019,../pdf/Notifications/INT_SCH_SO_2019_24082020.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_SO2019_24082020.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_SO2019_24082020.pdf
"<li><a href = ""../pdf/Notifications/NOTI_POSTPONEMENT_CGFSE2020.pdf"" target ='_' > NOTIFICATION- POSTPONEMENT OF CG FOREST SERVICE (COMBINED) EXAMINATION-2020</li>",NOTIFICATION- POSTPONEMENT OF CG FOREST SERVICE (COMBINED) EXAMINATION-2020,../pdf/Notifications/NOTI_POSTPONEMENT_CGFSE2020.pdf
"<li><a href = ""../pdf/Notifications/Suchana_Patra_AP_Pshycology20082020.pdf"" target ='_' > NOTIFICATION ABOUT INTERVIEW SCHEDULE OF ASSISTANT PROFESSOR-2019 (PSYCHOLOGY) (20-08-2020) </li>",NOTIFICATION ABOUT INTERVIEW SCHEDULE OF ASSISTANT PROFESSOR-2019 (PSYCHOLOGY) (20-08-2020) ,../pdf/Notifications/Suchana_Patra_AP_Pshycology20082020.pdf
"<li><a href = ""../pdf/Notifications/CORREGENDUM_AP_PSYCHOLOGY%202019.pdf"" target ='_' > CORREGENDUM </li>",CORREGENDUM ,../pdf/Notifications/CORREGENDUM_AP_PSYCHOLOGY%202019.pdf
"<li><a href = ""../pdf/Notifications/Int_Sch_AP_Pshycology20082020.pdf"" target ='_' > INTERVIEW SCHEDULE - ASSISTANT PROFESSOR-2019 (PSYCHOLOGY)</li>",INTERVIEW SCHEDULE - ASSISTANT PROFESSOR-2019 (PSYCHOLOGY),../pdf/Notifications/Int_Sch_AP_Pshycology20082020.pdf
"<li><a href = ""../pdf/Notifications/Int_CL_AP_Pshycology20082020.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/Int_CL_AP_Pshycology20082020.pdf
"<li><a href = ""../pdf/Notifications/Interview_Cancelation_AP_Psychology_2019_04092020.pdf"" target ='_' > NOTIFICAITON FOR POSTPONEMENT OF INTERVIEW(ASSISTANT PROFESSOR- PSYCHOLOGY-2019) (04-09-2020) </li>",NOTIFICAITON FOR POSTPONEMENT OF INTERVIEW(ASSISTANT PROFESSOR- PSYCHOLOGY-2019) (04-09-2020) ,../pdf/Notifications/Interview_Cancelation_AP_Psychology_2019_04092020.pdf
"<li><a href = ""../pdf/Notifications/NOTI_EXT_SSME_2019_14072020.pdf"" target ='_' > EXTENSION OF DATES OF ONLINE APPLICATION/ONLINE EDIT - STATE SERVICE (MAINS) EXAM-2019(14/08/2020) </li>",EXTENSION OF DATES OF ONLINE APPLICATION/ONLINE EDIT - STATE SERVICE (MAINS) EXAM-2019(14/08/2020) ,../pdf/Notifications/NOTI_EXT_SSME_2019_14072020.pdf
"<li><a href = ""../pdf/Notifications/Suchana_Patra_AP_Pshycology17072020.pdf"" target ='_' > NOTIFICATION ABOUT INTERVIEW SCHEDULE OF ASSISTANT PROFESSOR-2019 (PSYCHOLOGY) (17-07-2020) </li>",NOTIFICATION ABOUT INTERVIEW SCHEDULE OF ASSISTANT PROFESSOR-2019 (PSYCHOLOGY) (17-07-2020) ,../pdf/Notifications/Suchana_Patra_AP_Pshycology17072020.pdf
"<li><a href = ""../pdf/Notifications/Int_Sch_AP_Pshycology17072020.pdf"" target ='_' > INTERVIEW SCHEDULE - ASSISTANT PROFESSOR-2019 (PSYCHOLOGY)</li>",INTERVIEW SCHEDULE - ASSISTANT PROFESSOR-2019 (PSYCHOLOGY),../pdf/Notifications/Int_Sch_AP_Pshycology17072020.pdf
"<li><a href = ""../pdf/Notifications/Int_CL_AP_Pshycology17072020.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/Int_CL_AP_Pshycology17072020.pdf
"<li><a href = ""../pdf/Notifications/Interview_Cancelation_AP_Psychology_2019_27072020.pdf"" target ='_' > NOTIFICAITON FOR POSTPONEMENT OF INTERVIEW(ASSISTANT PROFESSOR- PSYCHOLOGY-2019) (28-07-2020) </li>",NOTIFICAITON FOR POSTPONEMENT OF INTERVIEW(ASSISTANT PROFESSOR- PSYCHOLOGY-2019) (28-07-2020) ,../pdf/Notifications/Interview_Cancelation_AP_Psychology_2019_27072020.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SSME_2019_25062020.pdf"" target ='_' > NOTIFICATION FOR STATE SERVICE (MAINS) EXAM-2019 (25/06/2020)</li>",NOTIFICATION FOR STATE SERVICE (MAINS) EXAM-2019 (25/06/2020),../pdf/Notifications/NOTI_SSME_2019_25062020.pdf
"<li><a href = ""../pdf/Notifications/NOTI_CJM_2019_25062020.pdf"" target ='_' > NOTIFICATION FOR CIVIL JUDGE (MAINS) EXAM-2019 (25/06/2020)</li>",NOTIFICATION FOR CIVIL JUDGE (MAINS) EXAM-2019 (25/06/2020),../pdf/Notifications/NOTI_CJM_2019_25062020.pdf
"<li><a href = ""../pdf/Notifications/Tender_Notice_Disposal_2020.pdf"" target ='_' > TENDER NOTICE FOR DISPOSAL/SALE-2020 </li>",TENDER NOTICE FOR DISPOSAL/SALE-2020 ,../pdf/Notifications/Tender_Notice_Disposal_2020.pdf
"<li><a href = ""../pdf/Notifications/Noti_Cancelation_Interview_22_to_26_June2020.pdf"" target ='_' > NOTIFICAITON FOR CANCELATION OF INTERVIEW(ASSISTANT PROFESSOR- PSYCHOLOGY-2019, LIBRARIAN & SPORTS OFFICER-2019) </li>","NOTIFICAITON FOR CANCELATION OF INTERVIEW(ASSISTANT PROFESSOR- PSYCHOLOGY-2019, LIBRARIAN & SPORTS OFFICER-2019) ",../pdf/Notifications/Noti_Cancelation_Interview_22_to_26_June2020.pdf
"<li><a href = ""../pdf/Notifications/Interview_Suchana_Patra_LSO_2019.pdf"" target ='_' > NOTIFICATION ABOUT INTERVIEW SCHEDULE OF LIBRARIAN AND SPORTS OFFICER EXAM-2019 </li>",NOTIFICATION ABOUT INTERVIEW SCHEDULE OF LIBRARIAN AND SPORTS OFFICER EXAM-2019 ,../pdf/Notifications/Interview_Suchana_Patra_LSO_2019.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_LIB_2019.pdf"" target ='_' > INTERVIEW SCHEDULE - LIBRARIAN EXAM-2019</li>",INTERVIEW SCHEDULE - LIBRARIAN EXAM-2019,../pdf/Notifications/INT_SCH_LIB_2019.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_LIB_2019.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_LIB_2019.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_SO_2019.pdf"" target ='_' > INTERVIEW SCHEDULE - SPORTS OFFICER EXAM-2019</li>",INTERVIEW SCHEDULE - SPORTS OFFICER EXAM-2019,../pdf/Notifications/INT_SCH_SO_2019.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_SO_2019.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_SO_2019.pdf
"<li><a href = ""../pdf/Notifications/Interview_Suchana_Patra_AP2019_Psychology.pdf"" target ='_' > NOTIFICATION ABOUT INTERVIEW SCHEDULE OF ASSISTANT PROFESSOR -2019 (PSYCHOLOGY) </li>",NOTIFICATION ABOUT INTERVIEW SCHEDULE OF ASSISTANT PROFESSOR -2019 (PSYCHOLOGY) ,../pdf/Notifications/Interview_Suchana_Patra_AP2019_Psychology.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_AP_2019_Psychology.pdf"" target ='_' > INTERVIEW SCHEDULE - ASSISTANT PROFESSOR -2019 (PSYCHOLOGY) </li>",INTERVIEW SCHEDULE - ASSISTANT PROFESSOR -2019 (PSYCHOLOGY) ,../pdf/Notifications/INT_SCH_AP_2019_Psychology.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_AP_2019_Psychology.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_AP_2019_Psychology.pdf
"<li><a href = ""../pdf/Notifications/Noti_Cancelation_Skill_Test_On_30_01_2020.pdf"" target ='_' > NOTIFICAITON FOR CANCELATION OF SKILL TEST HELD ON 30-01-2020 (AG3, AG3-BACKLOG, STENOGRAPHER, STENOTYPIST) </li>","NOTIFICAITON FOR CANCELATION OF SKILL TEST HELD ON 30-01-2020 (AG3, AG3-BACKLOG, STENOGRAPHER, STENOTYPIST) ",../pdf/Notifications/Noti_Cancelation_Skill_Test_On_30_01_2020.pdf
"<li><a href = ""../pdf/Notifications/SHORT_TENDER_NOTICE_STATIONARY_2020.pdf"" target ='_' > SHORT TENDER NOTICE FOR PURCHASE OF STATIONERY MATERIAL-2020 </li>",SHORT TENDER NOTICE FOR PURCHASE OF STATIONERY MATERIAL-2020 ,../pdf/Notifications/SHORT_TENDER_NOTICE_STATIONARY_2020.pdf
"<li><a href = ""../pdf/Notifications/Noti_Postpone_SSE_Mains_2019.pdf"" target ='_' > NOTIFICATION- POSTPONEMENT OF STATE SERVICE (MAINS) EXAMINATION-2019</li>",NOTIFICATION- POSTPONEMENT OF STATE SERVICE (MAINS) EXAMINATION-2019,../pdf/Notifications/Noti_Postpone_SSE_Mains_2019.pdf
"<li><a href = ""../pdf/Notifications/Noti_EXT_Online_Applications_30_03_2020.pdf"" target ='_' > NOTIFICATION- EXTENSION OF DATES OF ONLINE APPLICATION/ONLINE EDITING (CIVIL JUDGE-2020, ASSISTANT GEO-HYDROLOGIST, ASSISTANT GEO-PHYSICS, ASSISTANT GEO-CHEMIST-2020 & VETERINARY ASSISTANT SURGEON-2020)</li>","NOTIFICATION- EXTENSION OF DATES OF ONLINE APPLICATION/ONLINE EDITING (CIVIL JUDGE-2020, ASSISTANT GEO-HYDROLOGIST, ASSISTANT GEO-PHYSICS, ASSISTANT GEO-CHEMIST-2020 & VETERINARY ASSISTANT SURGEON-2020)",../pdf/Notifications/Noti_EXT_Online_Applications_30_03_2020.pdf
"<li><a href = ""../pdf/Notifications/Noti_Postpone_Examinations_30_03_2020.pdf"" target ='_' > NOTIFICATION- POSTPONEMENT OF EXAMINATIONS (ASSISTANT PROFESSOR-2019, CIVIL JUDGE-2020)</li>","NOTIFICATION- POSTPONEMENT OF EXAMINATIONS (ASSISTANT PROFESSOR-2019, CIVIL JUDGE-2020)",../pdf/Notifications/Noti_Postpone_Examinations_30_03_2020.pdf
"<li><a href = ""../pdf/Notifications/Noti_Exam_Sch_AP_2019.pdf"" target ='_' > EXAM SCHEDULE OF ASSISTANT PROFESSOR EXAM-2019 </li>",EXAM SCHEDULE OF ASSISTANT PROFESSOR EXAM-2019 ,../pdf/Notifications/Noti_Exam_Sch_AP_2019.pdf
"<li><a href = ""../pdf/Notifications/DV_CL_Notification_AP_2019.pdf"" target ='_' > NOTIFICATION ABOUT DOCUMENT VERIFICATION OF ASSISTANT PROFESSOR EXAM-2019 (HIGHER EDUCATION DEPT.) </li>",NOTIFICATION ABOUT DOCUMENT VERIFICATION OF ASSISTANT PROFESSOR EXAM-2019 (HIGHER EDUCATION DEPT.) ,../pdf/Notifications/DV_CL_Notification_AP_2019.pdf
"<li><a href = ""../pdf/Notifications/DV_SCH_AP_2019.pdf"" target ='_' > DOCUMENT VERIFICATION SCHEDULE - ASSISTANT PROFESSOR EXAM-2019 (HIGHER EDUCATION DEPT.)</li>",DOCUMENT VERIFICATION SCHEDULE - ASSISTANT PROFESSOR EXAM-2019 (HIGHER EDUCATION DEPT.),../pdf/Notifications/DV_SCH_AP_2019.pdf
"<li><a href = ""../pdf/Notifications/DV_CL_AP_2019.pdf"" target ='_' > DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/DV_CL_AP_2019.pdf
"<li><a href = ""../pdf/Notifications/Noti_About_Ac_SSPE2019.pdf"" target ='_' > NOTIFICATION ABOUT ADMIT CARD OF STATE SERVICE (PRELIMS) EXAM-2019 </li>",NOTIFICATION ABOUT ADMIT CARD OF STATE SERVICE (PRELIMS) EXAM-2019 ,../pdf/Notifications/Noti_About_Ac_SSPE2019.pdf
"<li><a href = ""../pdf/Notifications/Noti_Subs_SSE2019.pdf"" target ='_' > NOTIFICATION ABOUT SUBSCRIBER OF STATE SERVICE (PRELIMS) EXAM-2019 </li>",NOTIFICATION ABOUT SUBSCRIBER OF STATE SERVICE (PRELIMS) EXAM-2019 ,../pdf/Notifications/Noti_Subs_SSE2019.pdf
"<li><a href = ""../pdf/Notifications/DV_Notification_CGPSC_2018_2015.pdf"" target ='_' > NOTIFICATION ABOUT DOCUMENT VERIFICATION & SKILL TEST SCHEDULE OF ASSISTANT GRADE-3, STENOGRAPHER, STENO TYPIST EXAM-2018 AND ASSISTANT GRADE 3 - BACKLOG-2015 (CGPSC) </li>","NOTIFICATION ABOUT DOCUMENT VERIFICATION & SKILL TEST SCHEDULE OF ASSISTANT GRADE-3, STENOGRAPHER, STENO TYPIST EXAM-2018 AND ASSISTANT GRADE 3 - BACKLOG-2015 (CGPSC) ",../pdf/Notifications/DV_Notification_CGPSC_2018_2015.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_CGPSC1_2018.pdf"" target ='_' > DOCUMENT VERIFICATION SCHEDULE - ASSISTANT GRADE-3, STENOGRAPHER, STENO TYPIST-2018 (CGPSC)</li>","DOCUMENT VERIFICATION SCHEDULE - ASSISTANT GRADE-3, STENOGRAPHER, STENO TYPIST-2018 (CGPSC)",../pdf/Notifications/INT_SCH_CGPSC1_2018.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_CGPSC1_2018.pdf"" target ='_' > DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_CGPSC1_2018.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_CGPSC_2015.pdf"" target ='_' > DOCUMENT VERIFICATION SCHEDULE - ASSISTANT GRADE-3- BACKLOG-2015 (CGPSC)</li>",DOCUMENT VERIFICATION SCHEDULE - ASSISTANT GRADE-3- BACKLOG-2015 (CGPSC),../pdf/Notifications/INT_SCH_CGPSC_2015.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_CGPSC_2015.pdf"" target ='_' > DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED </li>",DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED ,../pdf/Notifications/INT_CL_CGPSC_2015.pdf
"<li><a href = ""../pdf/Notifications/NOTI_INT_SCH_SSE_2018.pdf"" target ='_' > NOTIFICATION REGARDING INTERVIEW OF STATE SERVICE EXAMINATION-2018 </li>",NOTIFICATION REGARDING INTERVIEW OF STATE SERVICE EXAMINATION-2018 ,../pdf/Notifications/NOTI_INT_SCH_SSE_2018.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_SSE_2018.pdf"" target ='_' > INTERVIEW SCHEDULE & DOCUMENT VERIFICATION SCHEDULE - STATE SERVICE EXAMINATION-2018 </li>",INTERVIEW SCHEDULE & DOCUMENT VERIFICATION SCHEDULE - STATE SERVICE EXAMINATION-2018 ,../pdf/Notifications/INT_SCH_SSE_2018.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_SSE_2018.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_SSE_2018.pdf
"<li><a href = ""../pdf/Notifications/Noti_Skill_Test_Driver_CGPSC_2018.pdf"" target ='_' > NOTIFICATION ABOUT SKILL TEST SCHEDULE OF DRIVER (CGPSC) EXAM-2018 </li>",NOTIFICATION ABOUT SKILL TEST SCHEDULE OF DRIVER (CGPSC) EXAM-2018 ,../pdf/Notifications/Noti_Skill_Test_Driver_CGPSC_2018.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_ADPES_2019.pdf"" target ='_' > INTERVIEW SCHEDULE & DOCUMENT VERIFICATION SCHEDULE - ASSISTANT DIRECTOR (PLANNING, ECONOMICS, STATISTICS) EXAM-2019 </li>","INTERVIEW SCHEDULE & DOCUMENT VERIFICATION SCHEDULE - ASSISTANT DIRECTOR (PLANNING, ECONOMICS, STATISTICS) EXAM-2019 ",../pdf/Notifications/INT_SCH_ADPES_2019.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_ADPES_2019.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_ADPES_2019.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_ADS_2018.pdf"" target ='_' > INTERVIEW SCHEDULE & DOCUMENT VERIFICATION SCHEDULE - ASSISTANT DIRECTOR - SURVEY EXAM-2018 </li>",INTERVIEW SCHEDULE & DOCUMENT VERIFICATION SCHEDULE - ASSISTANT DIRECTOR - SURVEY EXAM-2018 ,../pdf/Notifications/INT_SCH_ADS_2018.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_ADS_2018.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_ADS_2018.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_ADP_2018.pdf"" target ='_' > INTERVIEW SCHEDULE & DOCUMENT VERIFICATION SCHEDULE - ASSISTANT DIRECTOR - PLANNING EXAM-2018 </li>",INTERVIEW SCHEDULE & DOCUMENT VERIFICATION SCHEDULE - ASSISTANT DIRECTOR - PLANNING EXAM-2018 ,../pdf/Notifications/INT_SCH_ADP_2018.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_ADP_2018.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_ADP_2018.pdf
"<li><a href = ""../pdf/Notifications/Noti_Subs_LSO2019.pdf"" target ='_' > NOTIFICATION ABOUT SUBSCRIBER OF LIBRARIAN AND SPORTS OFFICER EXAM-2019 </li>",NOTIFICATION ABOUT SUBSCRIBER OF LIBRARIAN AND SPORTS OFFICER EXAM-2019 ,../pdf/Notifications/Noti_Subs_LSO2019.pdf
"<li><a href = ""../pdf/Notifications/Noti_About_AC_LSO2019.pdf"" target ='_' > NOTIFICATION ABOUT ADMIT CARD OF LIBRARIAN AND SPORTS OFFICER EXAM-2019</li>",NOTIFICATION ABOUT ADMIT CARD OF LIBRARIAN AND SPORTS OFFICER EXAM-2019,../pdf/Notifications/Noti_About_AC_LSO2019.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCH_LSO2019.pdf"" target ='_' > EXAM SCHEDULE OF LIBRARIAN AND SPORTS OFFICER-2019 [EXAM DATE : 26TH NOV 2019] </li>",EXAM SCHEDULE OF LIBRARIAN AND SPORTS OFFICER-2019 [EXAM DATE : 26TH NOV 2019] ,../pdf/Notifications/EXAM_SCH_LSO2019.pdf
"<li><a href = ""../pdf/Notifications/TENDER/TENDER_NOTICE_VAHAN_2019.pdf"" target ='_' > SHORT TENDER NOTICE FOR SALE </li>",SHORT TENDER NOTICE FOR SALE ,../pdf/Notifications/TENDER/TENDER_NOTICE_VAHAN_2019.pdf
